Frequency,Magnitude
1226.05,36251.200598
1227.39,36278.326804
1228.74,36226.939556
1230.08,36194.845611
1231.43,36156.894148
1232.78,36111.711990
1234.12,36002.284932
1235.47,36038.438798
1236.81,36029.303515
1238.16,35979.664232
1239.51,35927.409328
1240.85,35915.600045
1242.20,35935.115851
1243.54,35854.024936
1244.89,35789.806980
1246.23,35792.368156
1247.58,35798.341344
1248.93,35756.909491
1250.27,35688.134494
1251.62,35722.867416
1252.96,35780.681918
1254.31,35721.091728
1255.65,35676.404620
1257.00,35652.192265
1258.35,35596.628360
1259.69,35711.086786
1261.04,35573.086784
1262.38,35595.099629
1263.73,35505.220011
1265.08,35479.391189
1266.42,35455.780275
1267.77,35404.759867
1269.11,35368.962108
1270.46,35348.883089
1271.80,35229.685517
1273.15,35197.374829
1274.50,35161.487665
1275.84,35097.637469
1277.19,35127.624309
1278.53,34986.832651
1279.88,34973.132084
1281.23,34917.987956
1282.57,34834.455257
1283.92,34766.953578
1285.26,34710.559219
1286.61,34699.793398
1287.95,34660.755840
1289.30,34623.769409
1290.65,34569.992493
1291.99,34554.209133
1293.34,34487.742425
1294.68,34463.221658
1296.03,34439.576989
1297.38,34351.538996
1298.72,34462.701857
1300.07,34388.656851
1301.41,34423.812495
1302.76,34413.819193
1304.10,34416.511081
1305.45,34401.777085
1306.80,34384.104325
1308.14,34406.385112
1309.49,34389.344739
1310.83,34421.436584
1312.18,34386.833068
1313.53,34405.128119
1314.87,34401.701575
1316.22,34381.814949
1317.56,34393.410237
1318.91,34360.693378
1320.25,34346.325697
1321.60,34325.765338
1322.95,34267.125374
1324.29,34281.400554
1325.64,34233.600338
1326.98,34186.502587
1328.33,34169.614735
1329.68,34136.635060
1331.02,34069.546875
1332.37,33925.848780
1333.71,33961.304043
1335.06,33892.484996
1336.40,33936.993932
1337.75,33808.137544
1339.10,33705.432178
1340.44,33627.041029
1341.79,33652.729446
1343.13,33568.899046
1344.48,33464.099129
1345.83,33413.709276
1347.17,33374.047827
1348.52,33216.529476
1349.86,33317.108661
1351.21,33267.684436
1352.55,33156.787000
1353.90,33179.264092
1355.25,33222.158097
1356.59,33173.985912
1357.94,33127.822902
1359.28,33190.464573
1360.63,33126.169706
1361.98,33128.397353
1363.32,33162.176450
1364.67,33130.296274
1366.01,33120.898947
1367.36,33028.534908
1368.70,33037.493028
1370.05,33063.964165
1371.40,33096.294615
1372.74,33101.471987
1374.09,33049.784370
1375.43,33061.581561
1376.78,33044.121282
1378.12,33015.931211
1379.47,33065.189614
1380.82,33049.288640
1382.16,33003.329065
1383.51,33025.471917
1384.85,33006.572670
1386.20,32945.691517
1387.55,32887.658333
1388.89,32916.080934
1390.24,32866.019840
1391.58,32728.365642
1392.93,32765.687233
1394.27,32718.884285
1395.62,32689.476742
1396.97,32664.177123
1398.31,32586.123762
1399.66,32577.564840
1401.00,32492.106347
1402.35,32478.658445
1403.70,32521.024650
1405.04,32344.750613
1406.39,32310.198123
1407.73,32326.541817
1409.08,32290.394421
1410.42,32217.195767
1411.77,32176.432843
1413.12,32144.269790
1414.46,32198.639437
1415.81,32131.314565
1417.15,32032.008412
1418.50,32116.088709
1419.85,32080.402470
1421.19,32104.331995
1422.54,32009.070035
1423.88,31969.555726
1425.23,32022.063138
1426.57,31939.186956
1427.92,31939.533036
1429.27,31933.980865
1430.61,31881.934140
1431.96,31873.338741
1433.30,31903.226105
1434.65,31864.342502
1436.00,31825.818762
1437.34,31802.376058
1438.69,31788.163833
1440.03,31733.450514
1441.38,31764.709891
1442.72,31692.087727
1444.07,31594.700113
1445.42,31694.479389
1446.76,31678.533407
1448.11,31649.784659
1449.45,31536.305339
1450.80,31564.185825
1452.15,31483.173162
1453.49,31508.082231
1454.84,31477.796152
1456.18,31398.514180
1457.53,31413.037890
1458.87,31272.949832
1460.22,31441.074124
1461.57,31282.358873
1462.91,31261.774351
1464.26,31300.844824
1465.60,31231.298074
1466.95,31230.329949
1468.30,31242.014672
1469.64,31223.455635
1470.99,31176.375939
1472.33,31141.709390
1473.68,31155.665370
1475.02,31129.371766
1476.37,31123.928215
1477.72,31097.793574
1479.06,31108.216554
1480.41,31102.126613
1481.75,31007.646511
1483.10,31029.399995
1484.45,30980.192391
1485.79,30965.617038
